Z,Symbol,Y_Int,W_Int
1,H,31166,32768
2,He,31270,32768
3,Li,31364,32768
4,Be,31427,32768
5,B,31480,32768
6,C,31514,32768
7,N,31568,32768
8,O,31620,32768
9,F,31694,32768
10,Ne,31722,32768
11,Na,31786,32768
12,Mg,31814,32768
13,Al,31869,32768
14,Si,31891,32768
15,P,31945,32768
16,S,31965,32768
17,Cl,32023,32768
18,Ar,32094,32768
19,K,32081,32768
20,Ca,32096,32768
21,Sc,32165,32768
22,Ti,32203,32768
23,V,32240,32768
24,Cr,32253,32768
25,Mn,32285,32768
26,Fe,32295,32768
27,Co,32326,32768
28,Ni,32324,32768
29,Cu,32369,32768
30,Zn,32385,32768
31,Ga,32421,32768
32,Ge,32442,32768
33,As,32459,32768
34,Se,32485,32768
35,Br,32491,32768
36,Kr,32514,32768
37,Rb,32523,32768
38,Sr,32535,32768
39,Y,32541,32768
40,Zr,32553,32768
41,Nb,32561,32768
42,Mo,32574,32768
43,Tc,32583,32768
44,Ru,32595,32768
45,Rh,32602,32768
46,Pd,32615,32768
47,Ag,32619,32768
48,Cd,32634,32768
49,In,32641,32768
50,Sn,32651,32768
51,Sb,32659,32768
52,Te,32672,32768
53,I,32671,32768
54,Xe,32680,32768
55,Cs,32683,32768
56,Ba,32691,32768
57,La,32694,32888
58,Ce,32696,33008
59,Pr,32697,33128
60,Nd,32702,33248
61,Pm,32703,33368
62,Sm,32711,33488
63,Eu,32713,33608
64,Gd,32719,33728
65,Tb,32721,33848
66,Dy,32724,33968
67,Ho,32727,34088
68,Er,32729,34208
69,Tm,32730,34328
70,Yb,32733,34448
71,Lu,32735,34568
72,Hf,32737,32768
73,Ta,32739,32768
74,W,32741,32768
75,Re,32742,32768
76,Os,32745,32768
77,Ir,32746,32768
78,Pt,32747,32768
79,Au,32748,32768
80,Hg,32750,32768
81,Tl,32751,32768
82,Pb,32752,32768
83,Bi,32753,32768
84,Po,32753,32768
85,At,32753,32768
86,Rn,32757,32768
87,Fr,32757,32768
88,Ra,32758,32768
89,Ac,32758,34818
90,Th,32759,35068
91,Pa,32759,35318
92,U,32760,35568
93,Np,32760,35818
94,Pu,32761,36068
95,Am,32761,36318
96,Cm,32762,36568
97,Bk,32762,36818
98,Cf,32762,37068
99,Es,32762,37318
100,Fm,32763,37568
101,Md,32763,37818
102,No,32763,38068
103,Lr,32764,38318
104,Rf,32764,38668
105,Db,32764,39068
106,Sg,32764,39468
107,Bh,32764,39868
108,Hs,32765,40268
109,Mt,32765,40668
110,Ds,32765,41068
111,Rg,32765,41468
112,Cn,32766,41868
113,Nh,32766,42268
114,Fl,32766,42668
115,Mc,32766,43068
116,Lv,32766,43468
117,Ts,32766,43868
118,Og,32766,44268
